# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0105	RG	05:08:06.00	-69:32:04.5	16.086	17.481	1.395	414.42000000	9286.6000	0.018	0.2950	57.10	109.90	1	-99.99	-99.99	LMC119.1.24260	LMC509.27.403	OGLE-LMC-ECL-29749
OGLE-LMC-HB-0106	RG	05:08:06.51	-70:01:02.2	13.257	14.794	1.537	1264.70000000	9673.6000	0.033	0.4900	51.60	149.40	1	-99.99	-99.99	-99.99	LMC509.10.31276	-99.99
OGLE-LMC-HB-0107	MS	05:08:07.08	-71:10:50.6	15.019	14.876	-0.143	8.20402000	9004.1600	0.015	0.5020	31.70	121.00	0	ECL	-99.99	LMC122.1.13841	LMC508.10.13632	OGLE-LMC-ECL-29752
OGLE-LMC-HB-0108	RG	05:08:15.91	-69:14:30.7	15.673	16.991	1.318	220.29500000	9031.6000	0.020	0.1830	67.00	35.90	1	-99.99	LMC_SC11_118732	LMC119.3.27676	LMC510.03.218	-99.99
OGLE-LMC-HB-0109	RG	05:08:17.79	-68:39:43.0	14.168	15.584	1.416	477.32000000	9468.8000	0.014	0.3980	19.10	19.00	1	TEO	-99.99	LMC118.2.83425	LMC510.20.63	EROS2-star lm018-4l-25595
OGLE-LMC-HB-0110	MS	05:08:18.59	-70:37:40.0	16.807	17.088	0.281	7.49809000	9006.0440	0.031	0.3270	45.70	179.30	0	ECL	-99.99	LMC121.1.44397	LMC508.27.25058	OGLE-LMC-ECL-08260
OGLE-LMC-HB-0111	RG	05:08:46.27	-69:20:27.5	15.538	17.329	1.791	468.96000000	9054.6000	0.024	0.1220	70.00	44.20	0	ECL	LMC_SC11_200748	LMC119.2.38010	LMC509.27.46503	OGLE-LMC-ECL-08446
OGLE-LMC-HB-0112	RG	05:09:21.72	-68:29:24.0	13.602	14.867	1.265	424.15000000	9075.2000	0.066	0.2603	82.50	166.20	1	ECL	-99.99	LMC118.4.28145	LMC510.19.47355	OGLE-LMC-ECL-08689
OGLE-LMC-HB-0113	RG	05:09:45.05	-68:33:50.8	16.013	17.373	1.360	250.95300000	9015.1000	0.037	0.3160	58.90	29.70	1	-99.99	-99.99	LMC110.6.34695	LMC510.19.686	-99.99
OGLE-LMC-HB-0114	MS	05:09:48.93	-68:52:46.8	14.910	15.067	0.157	56.32957000	9026.0600	0.135	0.2672	20.86	36.20	0	ECL	LMC_SC11_331601	LMC110.8.43400	LMC510.10.378	-99.99
OGLE-LMC-HB-0115	RG	05:09:53.42	-69:34:36.4	15.278	16.941	1.663	448.82000000	9352.9000	0.048	0.2999	58.50	25.10	1	OSARG	LMC_SC11_268670	LMC112.5.48492	LMC509.26.89	-99.99
OGLE-LMC-HB-0116	RG	05:10:09.13	-69:00:19.9	16.175	17.786	1.611	323.30000000	9322.9000	0.026	0.1070	51.10	167.50	1	-99.99	LMC_SC10_45024	LMC111.5.53575	-99.99	-99.99
