# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00082	singlemode	04:43:21.33	-69:11:36.9	20.131	20.705	0.574	0.07921766	0.00000006	7000.01768	0.236	0.503	3.764	0.416	1.338	-99.99	LMC149.3.10537	LMC539.02.6942	-99.99	
OGLE-LMC-DSCT-00084	singlemode	04:43:37.66	-68:44:33.8	20.089	20.493	0.404	0.07473051	0.00000005	7000.00720	0.286	0.344	3.937	0.000	-99.99	-99.99	LMC148.2.12316	LMC539.10.12662	-99.99	
OGLE-LMC-DSCT-00086	singlemode	04:44:16.71	-68:34:07.3	20.115	20.577	0.462	0.08167896	0.00000012	7000.01578	0.132	0.000	-99.99	0.000	-99.99	-99.99	LMC141.6.3205	LMC539.19.2677	-99.99	
OGLE-LMC-DSCT-00087	singlemode	04:44:21.84	-66:37:07.5	20.637	21.052	0.415	0.07248549	0.00000005	7000.00875	0.385	0.416	4.056	0.000	-99.99	-99.99	LMC145.4.1893	LMC541.04.7144	-99.99	
OGLE-LMC-DSCT-00089	singlemode	04:44:27.26	-69:03:07.4	16.635	17.116	0.481	0.06339917	0.00000002	7000.00170	0.210	0.379	4.068	0.145	1.802	-99.99	LMC142.5.129	LMC539.02.10333	-99.99	
OGLE-LMC-DSCT-00090	singlemode	04:44:40.82	-68:57:04.0	20.552	21.126	0.574	0.09050000	0.00000008	7000.03708	0.293	0.425	3.680	0.000	-99.99	-99.99	LMC141.8.4124	LMC539.10.4131	-99.99	
OGLE-LMC-DSCT-00092	singlemode	04:45:12.00	-68:28:58.8	19.989	20.431	0.442	0.07450359	0.00000005	7000.05097	0.249	0.497	4.167	0.000	-99.99	-99.99	LMC141.5.5346	LMC539.18.14525	-99.99	
OGLE-LMC-DSCT-00093	singlemode	04:45:17.54	-69:40:54.2	19.762	20.337	0.575	0.14822205	0.00000020	7000.10277	0.197	0.289	4.670	0.000	-99.99	-99.99	LMC143.5.10794	LMC538.17.15663	-99.99	
OGLE-LMC-DSCT-00094	singlemode	04:45:19.94	-70:05:23.6	19.976	20.072	0.096	0.12693732	0.00000019	7000.05904	0.139	0.000	-99.99	0.000	-99.99	-99.99	LMC143.8.10058	LMC530.32.2276	-99.99	
OGLE-LMC-DSCT-00095	singlemode	04:45:22.57	-68:02:14.5	19.833	20.256	0.423	0.08966123	0.00000007	7000.04732	0.224	0.289	4.003	0.000	-99.99	-99.99	LMC140.6.2020	LMC540.02.1803	-99.99	
OGLE-LMC-DSCT-00096	singlemode	04:45:28.45	-67:29:37.7	20.365	20.973	0.608	0.06915047	0.00000006	7000.03608	0.247	0.450	4.566	0.000	-99.99	-99.99	LMC146.2.10396	LMC540.10.12022	-99.99	
OGLE-LMC-DSCT-00097	singlemode	04:45:52.64	-66:58:49.7	19.948	20.266	0.318	0.08014565	0.00000010	7000.06884	0.135	0.000	-99.99	0.000	-99.99	-99.99	LMC145.2.5750	LMC540.27.6048	-99.99	
