# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-T2CEP-090	BLHer	05:18:36.36	-67:56:30.4	17.880	18.500	0.620	1.4789510	0.0000030	7001.27993	0.392	0.178	5.274	0.139	0.657	-99.99	LMC102.6.16879	LMC504.21.21705	-99.99	
OGLE-LMC-T2CEP-091	RVTau	05:18:45.47	-69:03:21.7	14.223	14.910	0.687	35.7131123	0.0058415	7035.20670	0.525	0.167	5.930	0.059	4.779	-99.99	LMC100.5.48271	LMC503.21.103780	HV2444	
OGLE-LMC-T2CEP-092	BLHer	05:19:23.63	-70:02:56.8	17.394	18.136	0.742	2.6168158	0.0000032	7000.28871	0.529	0.219	5.478	0.113	4.186	-99.99	LMC103.1.38744	LMC502.29.19752	-99.99	
OGLE-LMC-T2CEP-093	pWVir	05:19:26.45	-69:51:51.0	15.110	15.811	0.701	17.6067249	0.0009982	7014.44579	0.520	0.267	5.725	0.083	4.615	LMC_SC7_239698	LMC103.2.50784	LMC503.04.96	HV5756	type II Cepheid in an eclipsing binary system (P_orb = 419.43 d)
OGLE-LMC-T2CEP-094	WVir	05:19:53.20	-69:53:09.9	16.583	17.532	0.949	8.4716270	0.0003739	7006.41040	0.159	0.167	0.861	0.083	1.173	-99.99	LMC103.2.51157	LMC503.04.399	-99.99	
OGLE-LMC-T2CEP-095	WVir	05:20:09.84	-68:18:35.3	16.997	17.906	0.909	5.0011122	0.0002362	7002.09021	0.054	0.001	-99.99	0.003	-99.99	-99.99	LMC102.1.509	LMC504.11.20570	-99.99	uncertain
OGLE-LMC-T2CEP-096	WVir	05:20:10.43	-68:48:39.2	15.914	16.804	0.890	13.9228025	0.0001163	7001.95086	0.886	0.241	0.102	0.070	3.124	-99.99	LMC101.1.53540	LMC503.28.56479	-99.99	
OGLE-LMC-T2CEP-097	WVir	05:20:20.58	-69:12:21.0	16.179	17.096	0.917	10.5057069	0.0002285	7002.91019	0.246	0.132	1.513	0.048	1.819	LMC_SC6_118148	LMC100.3.15603	LMC503.20.68866	-99.99	
OGLE-LMC-T2CEP-098	pWVir	05:20:24.99	-70:11:08.7	14.426	14.681	0.255	4.9737525	0.0000144	7001.96165	0.106	0.183	4.982	0.113	2.912	LMC_SC21_40876	LMC104.4.55210	LMC502.28.44432	-99.99	type II Cepheid in an eclipsing binary system (P_orb = 397.27 d)
OGLE-LMC-T2CEP-099	WVir	05:20:44.48	-69:01:48.4	15.896	16.936	1.040	15.4823902	0.0004171	7007.06864	0.618	0.090	1.816	0.080	2.496	-99.99	LMC100.4.30495	LMC503.20.97811	-99.99	
OGLE-LMC-T2CEP-100	WVir	05:21:14.64	-70:23:15.4	16.658	17.414	0.756	7.4016917	0.0006985	7001.73126	0.195	0.135	5.723	0.105	5.823	-99.99	LMC104.3.17874	LMC502.20.6798	-99.99	
OGLE-LMC-T2CEP-101	WVir	05:21:18.87	-69:11:47.3	16.054	16.834	0.780	11.4163957	0.0002476	7009.16417	0.601	0.448	4.886	0.091	3.211	LMC_SC6_350603	LMC100.3.32462	LMC503.20.14020	HV5774	
OGLE-LMC-T2CEP-102	BLHer	05:21:19.67	-69:56:56.2	17.727	18.266	0.539	1.2660302	0.0000011	7000.43717	0.629	0.284	4.577	0.116	2.831	LMC_SC6_254530	LMC103.2.26384	LMC502.28.33584	-99.99	in globular cluster NGC 1939
OGLE-LMC-T2CEP-103	WVir	05:21:35.27	-70:13:25.7	16.039	16.995	0.956	12.9082775	0.0003099	7007.45108	0.435	0.122	1.621	0.078	2.433	LMC_SC21_132285	LMC104.4.21411	-99.99	-99.99	
OGLE-LMC-T2CEP-104	RVTau	05:21:49.11	-70:04:34.2	14.978	15.975	0.997	24.8780107	0.0012812	7019.41778	0.619	0.390	5.710	0.194	4.373	LMC_SC6_242669	LMC103.1.27711	LMC502.27.61364	LMV916 HV5779	
OGLE-LMC-T2CEP-105	BLHer	05:21:58.32	-70:16:35.1	17.619	18.193	0.574	1.4893113	0.0000013	7000.96134	0.633	0.397	4.199	0.124	0.759	LMC_SC21_179265	LMC104.4.32947	LMC502.19.61922	-99.99	
OGLE-LMC-T2CEP-106	WVir	05:22:02.03	-69:27:25.3	16.621	17.477	0.856	6.7078839	0.0001188	7002.33837	0.134	0.130	0.137	0.000	-99.99	-99.99	LMC100.1.134327	LMC503.10.81181	-99.99	
OGLE-LMC-T2CEP-107	BLHer	05:22:05.80	-69:40:24.5	17.700	18.485	0.785	1.2091632	0.0000021	7000.71500	0.307	0.258	4.434	0.073	4.057	LMC_SC6_405078	LMC103.4.51505	LMC503.02.110991	-99.99	
OGLE-LMC-T2CEP-108	RVTau	05:22:11.28	-68:11:31.3	14.715	15.415	0.700	30.1160008	0.0086525	7029.23059	0.053	0.111	4.120	0.068	4.673	-99.99	LMC102.2.17387	LMC504.10.29045	-99.99	
